nohup: ignoring input
Linux 5.14.0-427.44.1.el9_4.x86_64 (bc488234cf69) 	11/22/24 	_x86_64_	(8 CPU)

22:33:33     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
22:34:38     all    5.92    0.00    2.39    0.13    0.63    0.38    0.00    0.00    0.00   90.55
22:34:39     all    9.40    0.00    3.88    0.25    0.75    1.00    0.00    0.00    0.00   84.71
22:34:40     all    6.28    0.00    2.01    0.00    0.38    0.63    0.25    0.00    0.00   90.45
22:34:41     all    7.56    0.00    4.28    0.00    0.76    0.76    0.00    0.00    0.00   86.65
22:34:42     all    5.28    0.00    3.14    0.38    0.38    0.38    0.00    0.00    0.00   90.45
22:34:43     all    5.29    0.00    2.14    0.00    0.63    0.25    0.00    0.00    0.00   91.69
22:34:44     all    5.27    0.00    1.76    0.00    0.38    1.00    0.00    0.00    0.00   91.59
22:34:45     all   19.45    0.00    2.38    0.00    0.75    0.38    0.00    0.00    0.00   77.04
22:34:46     all    6.25    0.00    1.88    0.00    0.75    0.62    0.12    0.00    0.00   90.38
22:34:47     all    4.18    0.00    1.65    0.00    0.38    0.51    0.00    0.00    0.00   93.28
22:34:48     all    5.14    0.00    2.89    0.00    0.63    0.50    0.00    0.00    0.00   90.84
22:34:49     all    4.92    0.00    2.90    0.00    0.38    0.50    0.00    0.00    0.00   91.30
22:34:50     all    4.92    0.00    1.64    0.13    0.63    0.76    0.00    0.00    0.00   91.92
22:34:51     all    6.66    0.00    3.27    0.25    0.50    0.50    0.00    0.00    0.00   88.82
22:34:52     all   10.33    0.00    3.90    0.25    0.76    0.63    0.00    0.00    0.00   84.13
22:34:53     all    4.24    0.00    1.62    0.12    0.37    1.00    0.00    0.00    0.00   92.64
22:34:54     all    3.90    0.00    1.76    0.00    0.38    0.13    0.00    0.00    0.00   93.83
22:34:55     all    7.18    0.00    2.90    0.13    0.63    0.50    0.00    0.00    0.00   88.66
22:34:56     all    9.16    0.00    2.26    0.00    0.75    0.88    0.00    0.00    0.00   86.95
22:34:57     all    4.92    0.00    2.52    0.00    0.38    0.50    0.00    0.00    0.00   91.68
22:34:58     all    3.26    0.00    1.75    0.13    0.63    0.50    0.00    0.00    0.00   93.73
22:34:59     all    4.17    0.00    2.15    0.00    0.38    0.51    0.13    0.00    0.00   92.67
22:35:00     all    4.41    0.00    1.76    0.00    0.63    0.38    0.00    0.00    0.00   92.82
22:35:01     all    8.40    0.00    4.76    0.13    0.50    0.88    0.00    0.00    0.00   85.34
22:35:02     all    7.28    0.00    3.14    0.25    0.63    0.50    0.13    0.00    0.00   88.08
22:35:03     all    4.02    0.00    2.38    0.13    0.38    0.50    0.13    0.00    0.00   92.47
22:35:04     all   10.44    0.00    2.52    0.00    0.63    0.63    0.00    0.00    0.00   85.79
22:35:05     all    4.65    0.00    2.51    0.00    0.50    0.50    0.13    0.00    0.00   91.71
22:35:06     all    6.19    0.00    1.52    0.38    0.63    0.51    0.13    0.00    0.00   90.66
22:35:07     all   18.16    0.00    2.24    0.25    0.50    0.75    0.00    0.00    0.00   78.11
22:35:08     all    4.77    0.00    1.88    0.00    0.50    0.50    0.00    0.00    0.00   92.35
22:35:09     all    5.32    0.00    2.41    0.13    0.51    0.25    0.00    0.00    0.00   91.39
22:35:10     all    4.27    0.00    1.76    0.00    0.63    0.75    0.00    0.00    0.00   92.59
22:35:11     all    6.17    0.00    4.41    0.13    0.38    0.63    0.00    0.00    0.00   88.29
22:35:12     all    5.55    0.00    3.28    0.00    0.76    0.50    0.00    0.00    0.00   89.91
22:35:13     all    7.38    0.00    1.88    0.00    0.38    0.63    0.00    0.00    0.00   89.74
22:35:14     all    3.78    0.00    1.89    0.00    0.63    0.13    0.00    0.00    0.00   93.58
22:35:15     all    5.04    0.00    2.14    0.13    0.50    0.88    0.00    0.00    0.00   91.31
22:35:16     all    6.91    0.00    2.51    0.13    0.50    0.50    0.00    0.00    0.00   89.45
22:35:17     all    5.28    0.00    2.14    0.00    0.63    0.63    0.00    0.00    0.00   91.33
